ID_SOLICITANTE,ID_EMPRESTIMO,ID_HISTORICO,ID_SOLICITANTE,IDADE_SOLICITANTE,SALARIO_ANUAL,SITUACAO_PROPRIEDADE,ANOS_TRABALHADOS,ID_EMPRESTIMO,MOTIVO,PONTUACAO,VALOR_TOTAL_EMPRESTIMO,TAXA_JUROS,POSSIBILIDADE_INADIMPLENCIA,RENDA_PERCENTUAL,ID_HISTORICO,HISTORICO_INADIMPLENTE,ANOS_CARTAO_CREDITO
kCFxKx1l-BzJ5,MugpMyDw-oZKu,UpiCRn1L-LS8D,kCFxKx1l-BzJ5,21,50000,Alugada,1,MugpMyDw-oZKu,Educativo,A,10000,6.03,0,0.2,UpiCRn1L-LS8D,0,4
eG52TXsT-4PP1,lGQEQDlE-yd1m,sWyG7C9N-XQus,eG52TXsT-4PP1,24,52000,Hipotecada,8,lGQEQDlE-yd1m,Médico,A,14500,7.29,0,0.28,sWyG7C9N-XQus,0,4
EIiI2AcE-r0hk,H60JRkh7-tWjz,Kjj7qRGG-gaZI,EIiI2AcE-r0hk,37,39600,Hipotecada,17,H60JRkh7-tWjz,"Melhora do lar",A,6000,NULL,0,0.15,Kjj7qRGG-gaZI,0,17
pK8J52Mv-rHOS,SXL4hIa6-LLgX,frnc18aY-yXy6,pK8J52Mv-rHOS,21,30000,Hipotecada,6,SXL4hIa6-LLgX,Pessoal,A,3000,5.99,0,0.1,frnc18aY-yXy6,0,4
KXHOntxO-DEic,ZOnUddtv-Ecql,ALQC32Rc-m1gn,KXHOntxO-DEic,41,34560,Alugada,8,ZOnUddtv-Ecql,"Pagamento de débitos",D,7550,16.89,1,0.22,ALQC32Rc-m1gn,0,14
4YeKNc19-cZ5l,uPf7vslc-mmca,xWCeX7Qf-SFmC,4YeKNc19-cZ5l,23,66500,Hipotecada,0,uPf7vslc-mmca,"Pagamento de débitos",B,22000,8.88,1,0.33,xWCeX7Qf-SFmC,0,2
c3pGliOJ-hqtN,qlKYdUDk-yAb4,tGI6IflT-iNtR,c3pGliOJ-hqtN,23,119496,Hipotecada,7,qlKYdUDk-yAb4,Educativo,A,12000,7.88,0,0.1,tGI6IflT-iNtR,0,4
oHMCr1mJ-h1t0,FMnWX1QW-uEIZ,5Aoh3HTJ-XaPb,oHMCr1mJ-h1t0,25,90000,Hipotecada,9,FMnWX1QW-uEIZ,Empreendimento,A,20000,6.54,0,0.22,5Aoh3HTJ-XaPb,0,3
UitOtlea-HcGx,nKRIvuTG-Hchq,L5v19JTN-x6ia,UitOtlea-HcGx,22,60000,Hipotecada,6,nKRIvuTG-Hchq,"Pagamento de débitos",B,3950,10.65,0,0.07,L5v19JTN-x6ia,0,4
8p79HSuB-HNWC,9rgTfjAX-TXDi,1aUTKTG0-TS9M,8p79HSuB-HNWC,29,420000,Hipotecada,5,9rgTfjAX-TXDi,"Pagamento de débitos",C,8000,12.73,0,0.02,1aUTKTG0-TS9M,0,5
jl6khzvc-5Y2B,321I76ql-Y9nN,AW4DCZkh-f064,jl6khzvc-5Y2B,28,35600,Alugada,3,321I76ql-Y9nN,Educativo,A,4000,7.49,0,0.11,AW4DCZkh-f064,0,6
SZeU9Kgm-n4UU,bQ65cHU9-ubWi,lam9kQQQ-nB07,SZeU9Kgm-n4UU,28,41500,Alugada,4,bQ65cHU9-ubWi,"Pagamento de débitos",C,10000,NULL,1,0.24,lam9kQQQ-nB07,1,6
aO81Z3y7-jqux,gHOXsWJH-gk6J,9zAHA3l4-nbO7,aO81Z3y7-jqux,26,50200,Alugada,1,gHOXsWJH-gk6J,"Melhora do lar",A,9000,7.66,0,0.18,9zAHA3l4-nbO7,0,3
lLN18MUr-ITmD,ZO6ngkPK-8Cmr,gvUJHFrh-iq0m,lLN18MUr-ITmD,24,68400,Hipotecada,NULL,ZO6ngkPK-8Cmr,Pessoal,A,3000,5.42,0,0.04,gvUJHFrh-iq0m,0,4
6JFfw0cY-m4ju,pzIxxaQv-ycNZ,pOU5PLCg-DtZ8,6JFfw0cY-m4ju,27,45000,Alugada,1,pzIxxaQv-ycNZ,"Pagamento de débitos",B,17475,11.99,1,0.39,pOU5PLCg-DtZ8,0,8
fdDtNDMr-7ENx,P0hv9joH-FCxq,fpzFBj3p-uO0B,fdDtNDMr-7ENx,23,55000,Alugada,7,P0hv9joH-FCxq,Médico,B,4200,9.91,0,0.08,fpzFBj3p-uO0B,0,4
RN6aRbZm-no6N,TDS3n5MK-19i7,Pd41iH30-k9NF,RN6aRbZm-no6N,27,30000,Alugada,4,TDS3n5MK-19i7,Empreendimento,C,6000,14.65,0,0.2,Pd41iH30-k9NF,1,9
R8qQkCbI-wJh1,L6iPSA1s-3sUK,dj9hpkrZ-iIe9,R8qQkCbI-wJh1,25,88000,Hipotecada,7,L6iPSA1s-3sUK,Pessoal,B,11000,11.14,0,0.13,dj9hpkrZ-iIe9,0,2
ne0nHwfn-wUTX,PrAWoPyP-bNMw,ZycHkEvD-ObkA,ne0nHwfn-wUTX,26,52000,Própria,10,PrAWoPyP-bNMw,"Pagamento de débitos",D,5000,15.65,0,0.1,ZycHkEvD-ObkA,1,4
MzUg7GJW-iGmI,QhN9t3QJ-4aUi,nfu8sSRA-ahH0,MzUg7GJW-iGmI,27,30000,Alugada,5,QhN9t3QJ-4aUi,Médico,D,7000,15.62,1,0.23,nfu8sSRA-ahH0,0,6
sgJHIce9-ZlTU,7um0XT5G-czDC,w26KZtv7-9lUe,sgJHIce9-ZlTU,28,72000,Hipotecada,12,7um0XT5G-czDC,Empreendimento,E,16000,15.95,0,0.22,w26KZtv7-9lUe,0,5
Jbw0PKS2-nfEy,kU9jo9hl-UzKz,ErijfDgU-yXoP,Jbw0PKS2-nfEy,25,89000,Alugada,4,kU9jo9hl-UzKz,Empreendimento,B,1300,10.59,0,0.01,ErijfDgU-yXoP,0,4
KwYi6myc-6HHK,2jc9nmMs-LCPI,xj6QtuTE-gTcG,KwYi6myc-6HHK,25,84000,Hipotecada,9,2jc9nmMs-LCPI,Médico,C,20000,15.27,0,0.24,xj6QtuTE-gTcG,0,3
vXhHTlDG-Ctwh,0LeLsGGY-TdKc,jhximWZu-QiQu,vXhHTlDG-Ctwh,24,55000,Alugada,1,0LeLsGGY-TdKc,"Melhora do lar",B,7500,12.53,0,0.14,jhximWZu-QiQu,0,2
Y3Io9p79-jUmH,eU8KspTT-gKDI,yR3RShOT-wu2p,Y3Io9p79-jUmH,22,90000,Alugada,4,eU8KspTT-gKDI,Educativo,D,5000,14.96,0,0.06,yR3RShOT-wu2p,1,4
LEPnv3DW-ZbO3,0HsGDUMx-D1g7,Td2OAh5u-4JSa,LEPnv3DW-ZbO3,24,19200,Alugada,2,0HsGDUMx-D1g7,"Pagamento de débitos",B,5000,NULL,1,0.26,Td2OAh5u-4JSa,0,3
HeFU1l92-SoJc,YKPNkH9s-m192,iZsktMir-mhJy,HeFU1l92-SoJc,28,280000,Hipotecada,3,YKPNkH9s-m192,"Melhora do lar",B,20000,11.36,0,0.07,iZsktMir-mhJy,0,5
8j3nXg4w-BuNO,RiflwrnH-uQkC,ZqzAt4nd-nr90,8j3nXg4w-BuNO,28,65000,Alugada,7,RiflwrnH-uQkC,Médico,B,14400,11.14,0,0.22,ZqzAt4nd-nr90,0,5
PbGwygUj-HL1f,pGHejuXg-tnm9,L08eskYo-HYqn,PbGwygUj-HL1f,35,20800,Própria,2,pGHejuXg-tnm9,Médico,B,7000,10.62,0,0.34,L08eskYo-HYqn,0,8
H1chfhx4-UBD8,NBIma59g-sr1I,q2dnEbls-w90x,H1chfhx4-UBD8,21,35004,Hipotecada,1,NBIma59g-sr1I,Empreendimento,A,3600,8,0,0.1,q2dnEbls-w90x,0,2
SZGimgLB-HCm7,oO5ASQf0-QQ5K,5Qd1RaEe-66Rg,SZGimgLB-HCm7,36,150000,Hipotecada,20,oO5ASQf0-QQ5K,"Pagamento de débitos",A,10000,NULL,0,0.07,5Qd1RaEe-66Rg,0,16
xL5DhHK6-WSTA,5rw8GOHe-oP9d,qjpZiuWE-oi9C,xL5DhHK6-WSTA,29,63600,Alugada,5,5rw8GOHe-oP9d,"Pagamento de débitos",B,12000,12.42,1,0.19,qjpZiuWE-oi9C,0,8
xx9D96Jm-Uhz0,DsxQdoJZ-ihmU,th4y4Ryk-M2Sk,xx9D96Jm-Uhz0,31,77940,Hipotecada,3,DsxQdoJZ-ihmU,Empreendimento,B,16250,10.99,0,0.21,th4y4Ryk-M2Sk,0,9
LxAHWzNu-ulAq,wpM16PEr-wA6R,9JwZhTCT-7BlE,LxAHWzNu-ulAq,34,30000,Alugada,2,wpM16PEr-wA6R,"Melhora do lar",A,12000,8.9,1,0.4,9JwZhTCT-7BlE,0,8
6UrIkruy-tsDE,2ZeZMCpx-pRAo,WT0LpEXn-94lj,6UrIkruy-tsDE,27,45000,Própria,9,2ZeZMCpx-pRAo,Médico,A,12000,6.03,0,0.27,WT0LpEXn-94lj,0,7
pz4fCJil-goTi,lD0uOkSn-xLwF,Fq8mxSIC-YaUc,pz4fCJil-goTi,25,87000,Hipotecada,4,lD0uOkSn-xLwF,Empreendimento,B,13000,11.26,0,0.15,Fq8mxSIC-YaUc,0,4
Q9qU7Dk1-xL1y,fGsi3W51-gRhn,QOSXCdiK-Artb,Q9qU7Dk1-xL1y,25,35000,Alugada,4,fGsi3W51-gRhn,Educativo,A,4000,7.51,0,0.11,QOSXCdiK-Artb,0,3
wId0doNJ-dzLq,BJa9tx8I-9MxU,T2FEy7ML-S9UM,wId0doNJ-dzLq,24,34860,Alugada,0,BJa9tx8I-9MxU,Empreendimento,B,2000,NULL,0,0.06,T2FEy7ML-S9UM,0,2
ysAUfgJy-6xeF,DitASzfj-JFbw,BPGwTZQx-wSyc,ysAUfgJy-6xeF,27,130000,Própria,12,DitASzfj-JFbw,Empreendimento,B,21000,NULL,0,0.16,BPGwTZQx-wSyc,0,9
L0YPxZMW-8l7D,43eGobZu-oNNx,qeXx3AUw-Q1Mb,L0YPxZMW-8l7D,22,32647,Alugada,7,43eGobZu-oNNx,Empreendimento,B,10000,11.48,1,0.31,qeXx3AUw-Q1Mb,0,3
SBSblONn-mxe1,6WZsQnwa-kdyG,n9L69bZi-1kUE,SBSblONn-mxe1,34,36000,Hipotecada,5,6WZsQnwa-kdyG,Pessoal,E,12000,16,0,0.33,n9L69bZi-1kUE,1,10
FRp3iJ21-rJ4C,9bfypja9-cF8P,TALxcBCr-iijW,FRp3iJ21-rJ4C,28,60000,Hipotecada,12,9bfypja9-cF8P,"Melhora do lar",D,3000,17.49,0,0.05,TALxcBCr-iijW,0,8
4Xp7i5fx-7ypN,gvxNY3oY-UkQb,Gsy2wwMl-xmOQ,4Xp7i5fx-7ypN,24,95000,,NULL,gvxNY3oY-UkQb,Médico,C,10000,NULL,0,0.2,Gsy2wwMl-xmOQ,0,8
MDkWBNlE-RzDO,rH8S8qW4-B4hd,k2L1kz5z-bv8E,MDkWBNlE-RzDO,23,45000,Alugada,0,rH8S8qW4-B4hd,Educativo,C,1775,12.72,0,0.04,k2L1kz5z-bv8E,1,2
1B0uANBd-vOCZ,35DBLH3h-A8db,UDXoX1DK-taIc,1B0uANBd-vOCZ,22,67440,Hipotecada,6,35DBLH3h-A8db,Educativo,B,5500,10.25,0,0.08,UDXoX1DK-taIc,0,4
E34uJYbE-tPb5,RccaCrxq-40HI,EsluTImy-6nLb,E34uJYbE-tPb5,28,200000,Hipotecada,12,RccaCrxq-40HI,Educativo,A,25000,7.9,0,0.13,EsluTImy-6nLb,0,9
X903mTEJ-9dWf,JOZcDbCE-kmRc,03are8os-KRAX,X903mTEJ-9dWf,37,35000,Alugada,5,JOZcDbCE-kmRc,Médico,A,4000,9.32,1,0.11,03are8os-KRAX,0,16
wQzHFqG6-lP3G,jlQ1kHig-17ue,9wSIXAIk-yoXW,wQzHFqG6-lP3G,23,46852,Alugada,3,jlQ1kHig-17ue,"Melhora do lar",B,6800,10.65,1,0.15,9wSIXAIk-yoXW,0,2
HiAPykJI-Kawq,Fd1NiHeu-f8N3,b2qOcjfT-Qk9X,HiAPykJI-Kawq,28,32200,Alugada,2,Fd1NiHeu-f8N3,Educativo,D,9000,13.99,1,0.28,b2qOcjfT-Qk9X,1,7
pS61TbH3-2h7i,Iss4XcEf-IkpA,2r8ch99N-gIoI,pS61TbH3-2h7i,23,45000,Alugada,6,Iss4XcEf-IkpA,Empreendimento,B,1600,10.08,0,0.04,2r8ch99N-gIoI,0,4
2xq14sxC-GLLv,mpvwNk1X-cWim,qImluPvL-QyR9,2xq14sxC-GLLv,30,42000,Alugada,2,mpvwNk1X-cWim,Médico,A,10000,NULL,0,0.24,qImluPvL-QyR9,0,7
B19dM6YX-rmze,DEyRkMSW-9dTx,3ncIQliD-NWEs,B19dM6YX-rmze,26,36000,Hipotecada,2,DEyRkMSW-9dTx,Pessoal,B,10000,10.75,0,0.28,3ncIQliD-NWEs,0,2
0GtJIxEv-rkD0,gLrB6BKM-myJ7,LfrDXMc6-vPss,0GtJIxEv-rkD0,28,28800,Alugada,1,gLrB6BKM-myJ7,Empreendimento,B,12250,10.59,1,0.43,LfrDXMc6-vPss,0,9
SZOnkAPa-kiJk,RlGgdF9e-bmrB,xaFdoJzR-Ib6P,SZOnkAPa-kiJk,27,70000,Hipotecada,3,RlGgdF9e-bmrB,"Melhora do lar",A,5200,7.51,0,0.07,xaFdoJzR-Ib6P,0,10
SUKM2xRE-v5Dm,gvrLDimI-S7NJ,uNFbfq41-bWy5,SUKM2xRE-v5Dm,30,150000,Alugada,5,gvrLDimI-S7NJ,"Pagamento de débitos",C,25000,12.53,0,0.17,uNFbfq41-bWy5,0,6
ikUZqvmT-iIl4,SPbd9w4U-UWR6,PPYfig3g-mAY1,ikUZqvmT-iIl4,27,86260,Hipotecada,11,SPbd9w4U-UWR6,Educativo,C,18000,13.72,1,0.21,PPYfig3g-mAY1,1,7
QGDsB2vg-1XmT,onX6Wyj5-OS9p,CptN7Foc-oFTO,QGDsB2vg-1XmT,26,45450,Alugada,2,onX6Wyj5-OS9p,Médico,B,7500,11.14,0,0.17,CptN7Foc-oFTO,0,3
23UWlnFm-Apcq,wC8Yn8ow-ndDU,R70dKJzp-91NW,23UWlnFm-Apcq,23,60000,Alugada,2,wC8Yn8ow-ndDU,Educativo,A,4500,NULL,0,NULL,R70dKJzp-91NW,0,3
866JW48X-S8Hs,A7Zt2fCG-TomM,0rDzxmLT-N5Ep,866JW48X-S8Hs,23,122000,Alugada,7,A7Zt2fCG-TomM,"Pagamento de débitos",C,14000,13.48,0,0.11,0rDzxmLT-N5Ep,1,2
YMWs45SE-Ti4D,HtoXfNeq-nf0Y,7aB8jwQx-KSfh,YMWs45SE-Ti4D,23,60000,Alugada,1,HtoXfNeq-nf0Y,"Pagamento de débitos",A,9000,7.51,0,0.15,7aB8jwQx-KSfh,0,3
gHp5zoXs-1wWF,znfcHbg3-GhYY,agsAEDm6-tMMp,gHp5zoXs-1wWF,22,30000,Hipotecada,2,znfcHbg3-GhYY,"Pagamento de débitos",B,13250,10.99,0,0.44,agsAEDm6-tMMp,0,4
AwtYmrAw-KRvi,38rTKKX4-Y3eQ,SHgUv5xg-wcrN,AwtYmrAw-KRvi,22,35000,Alugada,1,38rTKKX4-Y3eQ,Educativo,B,8000,9.2,0,0.23,SHgUv5xg-wcrN,0,3
C0cvNBXi-5I6w,nTwCmcd0-nJeK,wNJyFpHA-iLaC,C0cvNBXi-5I6w,39,105201,Hipotecada,20,nTwCmcd0-nJeK,Empreendimento,A,15000,6.91,0,0.14,wNJyFpHA-iLaC,0,15
QBIGEjtz-lEpR,Pdrcynqc-XfuC,LW0HC1yJ-SG0O,QBIGEjtz-lEpR,24,75000,Alugada,3,Pdrcynqc-XfuC,"Melhora do lar",B,13000,10.99,0,0.17,LW0HC1yJ-SG0O,0,4
GgOj15Si-YLoL,Od5pSkpS-RDLc,4Osle0pR-E73C,GgOj15Si-YLoL,28,75000,Alugada,0,Od5pSkpS-RDLc,Educativo,A,12000,6.03,0,0.16,4Osle0pR-E73C,0,6
LxQAfykk-U6Ex,Cyds9joT-CBti,bq6fFnHm-q1LD,LxQAfykk-U6Ex,36,75000,Hipotecada,2,Cyds9joT-CBti,"Pagamento de débitos",B,14400,10.25,0,0.19,bq6fFnHm-q1LD,0,15
b6j2dWE3-9tbo,x06EDX1Y-Ngs8,3e6xPxoE-3YIp,b6j2dWE3-9tbo,24,62000,Hipotecada,8,x06EDX1Y-Ngs8,Educativo,C,10000,13.99,0,0.16,3e6xPxoE-3YIp,1,4
Zu2arICK-Ghs3,CIFRdmBv-iAdN,BXUEqodm-3YNQ,Zu2arICK-Ghs3,37,250000,Hipotecada,2,CIFRdmBv-iAdN,Educativo,C,34000,14.79,0,0.14,BXUEqodm-3YNQ,0,16
9KekpIlT-iRY6,MHGUistX-fh0u,LmJRPZ8p-xJ6p,9KekpIlT-iRY6,26,83000,Hipotecada,1,MHGUistX-fh0u,Pessoal,B,17000,10.25,0,0.2,LmJRPZ8p-xJ6p,0,3
7h6wyf7B-9qGB,9I8FCMSv-9c13,RU4O9Lck-p5fE,7h6wyf7B-9qGB,35,54000,Alugada,NULL,9I8FCMSv-9c13,Pessoal,A,10000,5.42,0,0.19,RU4O9Lck-p5fE,0,10
ofY17ZMr-7P5H,67DodUrZ-7InL,n7vk6mZL-HpI4,ofY17ZMr-7P5H,26,80000,Alugada,0,67DodUrZ-7InL,Médico,C,8000,12.73,0,0.1,n7vk6mZL-HpI4,1,3
7LTGaDYY-6GfI,4u5QA99Q-EjGe,GXoN6CJ4-PusE,7LTGaDYY-6GfI,23,38400,Alugada,1,4u5QA99Q-EjGe,Empreendimento,B,13250,10.99,1,0.35,GXoN6CJ4-PusE,0,4
qAuUQK6w-AAF8,w6GxZJQE-hJsH,UW1FennQ-u9r4,qAuUQK6w-AAF8,29,30000,Hipotecada,3,w6GxZJQE-hJsH,Educativo,B,4000,NULL,0,0.13,UW1FennQ-u9r4,0,6
Lptp3XjZ-APQR,yh4vWMFM-AZvd,lQ7KCzLm-v6U0,Lptp3XjZ-APQR,23,NULL,Alugada,0,yh4vWMFM-AZvd,Educativo,A,NULL,16.4,0,0.1,lQ7KCzLm-v6U0,1,4
2gxElbKq-2qZo,p4qAQGcR-gOgs,uDQlqZdm-P7md,2gxElbKq-2qZo,21,70000,Hipotecada,5,p4qAQGcR-gOgs,Médico,A,7000,6.03,0,0.1,uDQlqZdm-P7md,0,3
B1R1cmmK-aqfv,AA8kwIbD-3xlO,0cWntw3A-zub5,B1R1cmmK-aqfv,27,54600,Alugada,2,AA8kwIbD-3xlO,Educativo,C,1500,13.23,0,0.03,0cWntw3A-zub5,1,8
yRk471Wt-1CTI,YcrQUUmF-ZgoX,QmZt5JZ4-qBRO,yRk471Wt-1CTI,35,60000,Hipotecada,12,YcrQUUmF-ZgoX,Médico,C,16000,15.96,0,0.27,QmZt5JZ4-qBRO,1,5
kutBdmhY-zS3q,4awABrCN-B0YQ,kaZsBHMG-suXt,kutBdmhY-zS3q,22,36000,Alugada,0,4awABrCN-B0YQ,Médico,A,4000,5.42,0,0.11,kaZsBHMG-suXt,0,3
nxKdN3yL-5UvW,l8vmFiJq-B1FU,Nu5oeoM1-fvrH,nxKdN3yL-5UvW,21,21600,,6,l8vmFiJq-B1FU,Educativo,,3000,5.79,0,0.04,Nu5oeoM1-fvrH,0,3
pixS4R8D-BX7q,i79xD8i4-BuzF,elGeXXIL-kh70,pixS4R8D-BX7q,29,32000,Alugada,10,i79xD8i4-BuzF,"Melhora do lar",D,9250,15.65,1,0.29,elGeXXIL-kh70,0,7
ZgfO484A-xU62,e4I0RtEw-APXn,Nzq3YhoN-K0ND,ZgfO484A-xU62,33,40056,Hipotecada,5,e4I0RtEw-APXn,Empreendimento,B,16750,9.88,0,0.42,Nzq3YhoN-K0ND,0,6
1ay2s31P-6aJu,tO2Sm7nc-jnct,vmydtoHG-3T9M,1ay2s31P-6aJu,22,42000,Alugada,6,tO2Sm7nc-jnct,"Pagamento de débitos",C,7000,12.68,0,0.17,vmydtoHG-3T9M,0,2
43k2eQwP-Ysd0,PirY4qdR-X5GM,Q0up0tps-PGEt,43k2eQwP-Ysd0,21,30000,Alugada,1,PirY4qdR-X5GM,Empreendimento,C,6000,13.16,1,0.2,Q0up0tps-PGEt,0,4
MvB8s0ed-ms6T,YLpFEwX5-7Pec,vA2Y0GCa-4pag,MvB8s0ed-ms6T,31,140000,Hipotecada,15,YLpFEwX5-7Pec,Empreendimento,A,12000,7.88,0,0.09,vA2Y0GCa-4pag,0,7
eGYiz8KL-OWLD,8YxLlMhZ-oPEi,09dhc9Ym-4ugt,eGYiz8KL-OWLD,29,63000,Alugada,13,8YxLlMhZ-oPEi,Médico,A,10000,7.49,0,0.16,09dhc9Ym-4ugt,0,5
s9nc29DJ-6XZP,IW875FFU-YGNx,K9hRnfln-CaGx,s9nc29DJ-6XZP,33,30000,Alugada,3,IW875FFU-YGNx,Médico,A,1200,6.76,0,0.04,K9hRnfln-CaGx,0,10
XuNDsBWH-J2jY,PefGuysE-GEq1,xpza7FYn-SBRl,XuNDsBWH-J2jY,26,50049,Alugada,5,PefGuysE-GEq1,"Pagamento de débitos",C,8000,12.99,0,0.16,xpza7FYn-SBRl,0,3
dyX2cPmY-RQFQ,AeUvXwoA-6xcn,vgbJGOp9-Yqg6,dyX2cPmY-RQFQ,29,35000,Alugada,1,AeUvXwoA-6xcn,Empreendimento,A,15000,7.9,1,0.43,vgbJGOp9-Yqg6,0,10
z8lIDa3v-DRxI,lj6L30Kl-N1BM,WUtzLCoy-dc2X,z8lIDa3v-DRxI,25,NULL,Alugada,0,lj6L30Kl-N1BM,Educativo,B,5000,9.32,NULL,0.19,WUtzLCoy-dc2X,0,2
GjhgpPBW-9ZCl,mxzzIiPW-OsEB,fN4md23z-anj8,GjhgpPBW-9ZCl,29,125000,Hipotecada,2,mxzzIiPW-OsEB,Médico,C,3500,13.98,0,0.03,fN4md23z-anj8,0,8
suxEaTyD-Im91,qOuyLyH0-unGs,UlhpxwqA-BxDB,suxEaTyD-Im91,23,24000,Alugada,1,qOuyLyH0-unGs,Empreendimento,B,5500,10.99,0,0.23,UlhpxwqA-BxDB,0,4
RGuybncp-pKOs,uk6ltObX-Xa5H,OJvzY5Ha-gTO7,RGuybncp-pKOs,22,160000,Alugada,6,uk6ltObX-Xa5H,Pessoal,A,20000,7.49,0,0.13,OJvzY5Ha-gTO7,0,3
xzaToYfB-hrkY,COHKaOIh-QZ6h,mHeO2yI0-4a0y,xzaToYfB-hrkY,23,31000,Alugada,5,COHKaOIh-QZ6h,"Pagamento de débitos",B,12500,10.65,1,0.4,mHeO2yI0-4a0y,0,4
7ikjwl3H-B127,bZah36nP-tcJ4,dlpkn9Il-YuNp,7ikjwl3H-B127,25,38496,Hipotecada,7,bZah36nP-tcJ4,Educativo,A,8000,6.03,0,0.21,dlpkn9Il-YuNp,0,4
RfzauctK-EsDd,zK3at60U-DBQS,xf9lwaj2-rAJd,RfzauctK-EsDd,23,60000,Alugada,4,zK3at60U-DBQS,Pessoal,B,12500,10.25,0,0.21,xf9lwaj2-rAJd,0,3
HhB6S2Hf-lokT,1i09bo4y-OkEk,CdtXH2EU-D8W0,HhB6S2Hf-lokT,22,40000,Alugada,0,1i09bo4y-OkEk,Empreendimento,A,8600,7.66,0,0.21,CdtXH2EU-D8W0,0,2
6SK783Dg-W16L,wZLqSaa3-s5qh,pp6K12LJ-CWn4,6SK783Dg-W16L,26,90000,Hipotecada,10,wZLqSaa3-s5qh,Pessoal,B,13000,10.59,0,0.14,pp6K12LJ-CWn4,0,3
l16RsUvK-s7v5,jskSmNO9-QbIG,cjaHC3uE-kSvU,l16RsUvK-s7v5,35,94000,Hipotecada,2,jskSmNO9-QbIG,"Melhora do lar",A,10000,7.49,0,0.11,cjaHC3uE-kSvU,0,9
tvNK5nuc-5saK,RdkcdzWX-Ovto,LUsEcFtn-jE9B,tvNK5nuc-5saK,42,55000,Hipotecada,1,RdkcdzWX-Ovto,Empreendimento,B,NULL,7.51,NULL,0.03,LUsEcFtn-jE9B,0,2
9EPWgZcl-5AB3,Zy0UWF9M-mJel,SJ0FMu4g-qN7z,9EPWgZcl-5AB3,22,12000,Própria,6,Zy0UWF9M-mJel,"Pagamento de débitos",A,4750,7.14,1,0.4,SJ0FMu4g-qN7z,0,2
aWqqFHac-iQ8f,sMR0cN1X-vgS6,IUfsaPBM-YzPd,aWqqFHac-iQ8f,25,33000,Alugada,5,sMR0cN1X-vgS6,Empreendimento,B,1500,11.48,0,0.05,IUfsaPBM-YzPd,0,4
iSKQ89R4-hSrQ,3rlP2CR9-tvKD,R0vzOSRj-B5F7,iSKQ89R4-hSrQ,24,77500,Alugada,0,3rlP2CR9-tvKD,"Pagamento de débitos",B,6800,10.99,0,0.09,R0vzOSRj-B5F7,0,3
vrYMi6eB-6OAo,ieOUTunU-lAt5,a09zr01B-TXhN,vrYMi6eB-6OAo,29,125000,Hipotecada,0,ieOUTunU-lAt5,Empreendimento,A,10000,5.79,0,0.08,a09zr01B-TXhN,0,9
Ea0GfImK-E1g6,6b3DEiCo-2RyS,6GR1fOW4-OLnC,Ea0GfImK-E1g6,27,10000,Alugada,2,6b3DEiCo-2RyS,Empreendimento,D,1200,14.11,1,0.12,6GR1fOW4-OLnC,1,6
ZKo3yRlN-bh65,qG6bJ6Yn-Ntvo,OwXq9DTq-lhl5,ZKo3yRlN-bh65,24,15600,Própria,5,qG6bJ6Yn-Ntvo,"Melhora do lar",A,3300,6.39,1,0.21,OwXq9DTq-lhl5,0,4
52ORU2rG-NBqt,wcjzGIwt-1w0H,4spHsSXl-llQO,52ORU2rG-NBqt,30,31200,Alugada,4,wcjzGIwt-1w0H,Médico,A,1900,5.79,0,0.06,4spHsSXl-llQO,0,10
BQlAqzWT-5ynN,7nPuUGbv-AFCB,xWZBCSa9-oLJJ,BQlAqzWT-5ynN,33,56100,Própria,13,7nPuUGbv-AFCB,"Melhora do lar",A,16000,6.03,0,0.29,xWZBCSa9-oLJJ,0,8
tIKzdoN5-GlGZ,62qdzcbT-vPCa,eSeXb7zO-l4tK,tIKzdoN5-GlGZ,25,27024,Alugada,7,62qdzcbT-vPCa,Educativo,E,2500,16.69,0,0.09,eSeXb7zO-l4tK,0,2
s5qjjv6i-Xt2P,WFOa9DCw-mMos,KECacmx0-PifE,s5qjjv6i-Xt2P,45,64000,Hipotecada,8,WFOa9DCw-mMos,Pessoal,A,4800,8.9,1,0.07,KECacmx0-PifE,0,17
Y7apa6wE-KEo1,dIhZAEB9-4L0q,9uuhz0Ut-Gsq0,Y7apa6wE-KEo1,26,30000,Alugada,3,dIhZAEB9-4L0q,"Pagamento de débitos",A,6000,7.74,0,0.2,9uuhz0Ut-Gsq0,0,3
uSq0Sf2T-cwBq,ebvLtieW-aqPS,bEbwx0CZ-iBUX,uSq0Sf2T-cwBq,22,153000,Hipotecada,5,ebvLtieW-aqPS,"Pagamento de débitos",D,24000,15.62,1,0.16,bEbwx0CZ-iBUX,1,2
6EEUKwoP-lIci,BbWflIJa-jKkJ,uSwEedep-bndC,6EEUKwoP-lIci,26,67000,Própria,10,BbWflIJa-jKkJ,"Pagamento de débitos",E,5000,16.45,1,0.07,uSwEedep-bndC,1,3
cEvLrR77-Ll6L,MketN2H8-zCgc,Wwis8CaS-6Uoa,cEvLrR77-Ll6L,36,117000,Hipotecada,3,MketN2H8-zCgc,"Melhora do lar",C,20400,13.06,0,0.17,Wwis8CaS-6Uoa,0,11
